Date,Open,High,Low,Close,Adj Close,Volume
2019-12-11,29.090908,29.090908,29.090908,29.090908,26.477804,38289394
2019-12-12,31.983471,31.983471,29.752066,30.413223,27.681343,505692621
2019-12-15,30.661158,30.991735,30.413223,30.909090,28.132669,98349281
2019-12-16,30.991735,31.487602,30.991735,31.404959,28.583998,105973907
2019-12-17,31.446280,31.528925,30.991735,31.198347,28.395945,142672245
2019-12-18,30.991735,31.074381,30.330578,30.330578,27.606121,83822621
2019-12-19,30.330578,30.371901,29.338842,29.338842,26.703468,108120197
2019-12-22,29.421488,29.504131,28.842976,29.173553,26.553028,39709972
2019-12-23,29.173553,29.462809,29.132231,29.421488,26.778692,35098090
2019-12-24,29.462809,29.504131,29.173553,29.256199,26.628248,22184338
2019-12-25,29.256199,29.256199,29.008265,29.090908,26.477804,13572736
2019-12-26,29.049585,29.214876,28.966942,29.214876,26.590637,13863242
2019-12-29,29.173553,29.504131,29.173553,29.256199,26.628248,22966690
2019-12-30,29.256199,29.297520,29.049585,29.049585,26.440195,13147121
2019-12-31,29.049585,29.132231,28.966942,29.132231,26.515415,16332772
2020-01-01,29.132231,29.132231,28.966942,29.008265,26.402586,8517342
2020-01-02,29.008265,29.132231,28.966942,29.049585,26.440195,11430744
2020-01-05,28.925619,28.925619,28.512396,28.553719,25.988869,25239125
2020-01-06,28.512396,28.553719,28.140495,28.512396,25.951256,23401835
2020-01-07,28.471073,28.553719,28.223141,28.388430,25.838428,13923075
2020-01-08,28.099173,28.264462,28.099173,28.264462,25.725595,22150479
2020-01-09,28.388430,28.966942,28.347107,28.925619,26.327362,31310879
2020-01-12,28.925619,29.049585,28.553719,28.760330,26.176922,24584632
2020-01-13,28.760330,28.925619,28.677685,28.719007,26.139309,16978173
2020-01-14,28.719007,28.801653,28.429752,28.801653,26.214535,12477898
2020-01-15,28.760330,28.760330,28.595041,28.677685,26.101700,12987230
2020-01-16,28.677685,28.677685,28.512396,28.595041,26.026480,11523975
2020-01-19,28.595041,28.595041,28.305784,28.388430,25.838428,13254735
2020-01-20,28.347107,28.595041,28.264462,28.595041,26.026480,8756076
2020-01-21,28.512396,28.595041,28.388430,28.553719,25.988869,8517485
2020-01-22,28.471073,28.512396,28.388430,28.471073,25.913649,6215751
2020-01-23,28.429752,28.471073,28.305784,28.471073,25.913649,7192433
2020-01-26,28.264462,28.388430,28.140495,28.347107,25.800814,9257143
2020-01-27,28.305784,28.305784,28.140495,28.305784,25.763206,8758776
2020-01-28,28.264462,28.305784,28.140495,28.305784,25.763206,8813615
2020-01-29,28.181818,28.429752,28.140495,28.429752,25.876040,10761242
2020-01-30,28.429752,28.429752,28.223141,28.223141,25.687986,6889782
2020-02-02,28.181818,28.181818,27.975206,28.057852,25.537544,13991469
2020-02-03,27.975206,28.099173,27.933884,28.057852,25.537544,10062499
2020-02-04,28.016527,28.099173,27.892561,27.975206,25.462320,9112708
2020-02-05,27.933884,28.057852,27.768595,27.809917,25.311878,11068032
2020-02-06,27.809917,27.892561,27.520660,27.603306,25.123831,11614195
2020-02-09,27.561983,28.140495,27.107437,28.140495,25.612764,21426588
2020-02-10,28.057852,28.057852,27.727272,27.768595,25.274273,7540306
2020-02-11,27.727272,27.809917,27.561983,27.644629,25.161436,5120739
2020-02-12,27.603306,27.644629,27.396694,27.438017,24.973383,7201967
2020-02-13,27.438017,27.520660,26.942148,27.355371,24.898167,18688399
2020-02-16,27.355371,27.355371,27.355371,27.355371,24.898167,0
2020-02-17,27.107437,27.438017,27.066114,27.355371,24.898167,9483416
2020-02-18,27.314049,27.520660,27.190083,27.438017,24.973383,6499644
2020-02-19,27.438017,27.603306,27.396694,27.603306,25.123831,5894103
2020-02-20,27.603306,27.851238,27.520660,27.809917,25.311878,8693188
2020-02-23,27.933884,28.223141,27.685949,28.140495,25.612764,13747169
2020-02-24,28.057852,28.057852,27.479338,27.603306,25.123831,10156974
2020-02-25,27.438017,27.768595,27.314049,27.685949,25.199045,10346653
2020-02-26,27.520660,27.685949,27.355371,27.644629,25.161436,7981719
2020-02-27,27.479338,27.561983,27.355371,27.561983,25.086218,21789663
2020-03-01,27.190083,27.190083,26.735537,26.983471,24.559671,15937816
2020-03-02,27.066114,27.396694,27.066114,27.107437,24.672499,14572666
2020-03-03,27.314049,27.396694,27.231403,27.314049,24.860550,9742098
2020-03-04,27.190083,27.355371,27.066114,27.314049,24.860550,10128925
2020-03-05,27.314049,27.438017,27.231403,27.272726,24.822941,4802784
2020-03-08,26.363636,26.363636,24.710743,24.793388,22.566311,28421368
2020-03-09,22.314049,23.677685,22.314049,23.429752,21.325165,41132955
2020-03-10,24.132231,25.743801,24.132231,25.743801,23.431356,31647450
2020-03-11,26.033056,26.033056,24.049585,24.545454,22.340649,27448991
2020-03-12,23.966942,24.462809,23.140495,23.966942,21.814098,25603130
2020-03-15,23.925619,24.586777,23.595041,23.719007,21.588438,19211347
2020-03-16,23.223141,23.388430,22.851238,22.975206,20.911451,15051263
2020-03-17,22.975206,24.586777,22.975206,24.049585,21.889320,20313512
2020-03-18,24.049585,24.752066,23.925619,23.966942,21.814098,16004656
2020-03-19,23.842976,24.462809,23.595041,24.256199,22.133705,19234391
2020-03-22,24.008265,24.338842,23.760330,23.884296,21.794342,8682535
2020-03-23,23.884296,23.884296,23.553719,23.636362,21.568102,6432514
2020-03-24,24.090908,24.669420,24.090908,24.380165,22.246820,12125193
2020-03-25,24.793388,25.000000,24.132231,24.462809,22.322233,23931994
2020-03-26,24.504131,24.793388,24.504131,24.710743,22.548475,6766584
2020-03-29,24.628099,24.834709,24.214876,24.710743,22.548475,8134082
2020-03-30,24.752066,24.834709,24.628099,24.752066,22.586180,5762749
2020-03-31,24.710743,25.000000,24.710743,24.917355,22.737003,8024432
2020-04-01,24.876034,25.413223,24.710743,25.289255,23.076361,11589101
